Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
ee5d5e7d.78cf.4a29.a9ee.56aa3da877dd..Panc.AdenoCA..DO32875	38	144	136	45	2	10
ee8ba991.8c96.476e.b096.49f3aaaffc2f..Panc.AdenoCA..DO32863	162	103	150	30	53	4
ef002c3d.358f.4fc0.98f3.2f8b89de4374..Panc.AdenoCA..DO51512	45	77	145	27	19	52
ef3a0ccd.85bc.4e5f.a8c6.5a2e2d9e6717..Panc.AdenoCA..DO49080	181	362	275	142	79	0
efacd7d6.56cf.4f6a.87f0.1a7ab6b1a643..Panc.AdenoCA..DO51483	239	224	166	29	42	3
efc39172.083c.4297.b922.3f58df781332..Panc.AdenoCA..DO35198	144	153	184	40	30	26
f1d9124e.dfa2.415e.b8b8.dd872fd3e2cb..Panc.AdenoCA..DO33408	55	98	146	5	25	0
f283ed80.8302.4f26.99ed.ea20d101289d..Panc.AdenoCA..DO49420	39	79	129	5	15	3
f4ada7a2.c4ac.4f89.ada7.4645861002cb..Panc.AdenoCA..DO51530	174	135	141	759	8	38
f4e673a9.5b85.46e7.bcac.2ce6e1026896..Panc.AdenoCA..DO51502	115	234	127	15	71	37
f4e926fd.006e.4c85.b71c.1433c325acb0..Panc.AdenoCA..DO49204	58	147	104	22	15	8
f5bb7ae4.4bb4.4e87.b83c.bc8620584989..Panc.AdenoCA..DO34312	62	173	171	10	23	14
f7702c0c.9636.4700.a8ae.7a58afd9fa71..Panc.AdenoCA..DO33544	74	284	186	15	30	3
f94c4f69.8119.4eaf.97c1.5106890c14d4..Panc.AdenoCA..DO35186	180	130	108	14	34	0
fa54205f.7e51.4e5a.9f0a.5e8a2e40235f..Panc.AdenoCA..DO49178	24	95	89	35	14	3
fa9a3247.a465.4fdf.bb64.5afaa83a5d76..Panc.AdenoCA..DO35132	0	26	38	0	6	2
fdbd0277.ddbf.4cc5.8ec3.3644b9553627..Panc.AdenoCA..DO35406	93	126	140	17	19	2
fe96d91c.3686.4125.af71.b8703a011ad4..Panc.AdenoCA..DO49463	96	887	152	26	93	0
ffe4bb51.e98a.41a7.a4e1.c3970386889c..Panc.AdenoCA..DO51503	51	53	107	14	8	50
