Method,cutoff,mean,lowCI.5.,median.50.,highCI.95.,J,theta,K_new,overd
1.CompNMFcos,0.6858845637583892,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.688568456375839,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.6912523489932886,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.6939362416107382,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.6966201342281879,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.6993040268456375,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.7019879194630873,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.7046718120805369,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.7073557046979866,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.7100395973154362,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.7127234899328859,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.7154073825503355,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.7180912751677853,0.9807692307692308,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.7207751677852349,0.9807692307692308,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.7234590604026845,0.9807692307692308,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.7261429530201342,0.9807692307692308,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.7288268456375839,0.9807692307692308,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.7315107382550335,0.9807692307692308,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.7341946308724832,0.9807692307692308,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.7368785234899329,0.9807692307692308,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.7395624161073826,0.9807692307692308,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.7422463087248322,0.9807692307692308,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.7449302013422818,0.9807692307692308,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.7476140939597316,0.9807692307692308,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.7502979865771812,0.9807692307692308,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.7529818791946309,0.9807692307692308,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.7556657718120805,0.9807692307692308,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.7583496644295302,0.9807692307692308,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.7610335570469798,0.9730769230769232,0.9153846153846154,1,1,50,100,2,0.15
1.CompNMFcos,0.7637174496644294,0.9730769230769232,0.9153846153846154,1,1,50,100,2,0.15
1.CompNMFcos,0.7664013422818792,0.9730769230769232,0.9153846153846154,1,1,50,100,2,0.15
1.CompNMFcos,0.7690852348993289,0.9730769230769232,0.9153846153846154,1,1,50,100,2,0.15
1.CompNMFcos,0.7717691275167785,0.9730769230769232,0.9153846153846154,1,1,50,100,2,0.15
1.CompNMFcos,0.7744530201342281,0.9730769230769232,0.9153846153846154,1,1,50,100,2,0.15
1.CompNMFcos,0.7771369127516778,0.9730769230769232,0.9153846153846154,1,1,50,100,2,0.15
1.CompNMFcos,0.7798208053691276,0.9730769230769232,0.9153846153846154,1,1,50,100,2,0.15
1.CompNMFcos,0.7825046979865772,0.9730769230769232,0.9153846153846154,1,1,50,100,2,0.15
1.CompNMFcos,0.7851885906040268,0.9730769230769232,0.9153846153846154,1,1,50,100,2,0.15
1.CompNMFcos,0.7878724832214765,0.9730769230769232,0.9153846153846154,1,1,50,100,2,0.15
1.CompNMFcos,0.7905563758389261,0.9730769230769232,0.9153846153846154,1,1,50,100,2,0.15
1.CompNMFcos,0.7932402684563759,0.9730769230769232,0.9153846153846154,1,1,50,100,2,0.15
1.CompNMFcos,0.7959241610738255,0.9730769230769232,0.9153846153846154,1,1,50,100,2,0.15
1.CompNMFcos,0.7986080536912752,0.9730769230769232,0.9153846153846154,1,1,50,100,2,0.15
1.CompNMFcos,0.8012919463087248,0.9730769230769232,0.9153846153846154,1,1,50,100,2,0.15
1.CompNMFcos,0.8039758389261744,0.9730769230769232,0.9153846153846154,1,1,50,100,2,0.15
1.CompNMFcos,0.8066597315436241,0.9730769230769232,0.9153846153846154,1,1,50,100,2,0.15
1.CompNMFcos,0.8093436241610739,0.9730769230769232,0.9153846153846154,1,1,50,100,2,0.15
1.CompNMFcos,0.8120275167785235,0.9730769230769232,0.9153846153846154,1,1,50,100,2,0.15
1.CompNMFcos,0.8147114093959731,0.9730769230769232,0.9153846153846154,1,1,50,100,2,0.15
1.CompNMFcos,0.8173953020134228,0.9730769230769232,0.9153846153846154,1,1,50,100,2,0.15
1.CompNMFcos,0.8200791946308725,0.9730769230769232,0.9153846153846154,1,1,50,100,2,0.15
1.CompNMFcos,0.8227630872483221,0.9730769230769232,0.9153846153846154,1,1,50,100,2,0.15
1.CompNMFcos,0.8254469798657718,0.9730769230769232,0.9153846153846154,1,1,50,100,2,0.15
1.CompNMFcos,0.8281308724832215,0.9730769230769232,0.9153846153846154,1,1,50,100,2,0.15
1.CompNMFcos,0.8308147651006711,0.9730769230769232,0.9153846153846154,1,1,50,100,2,0.15
1.CompNMFcos,0.8334986577181208,0.9730769230769232,0.9153846153846154,1,1,50,100,2,0.15
